cnum	sn2	sn1	press_sim	comp
11	0.09764097631	0.1955670118	0	18:0/18:1 PE
12	0.1462988108	0.1834378988	0	18:0/18:1 PE
13	0.1513004005	0.1634153724	0	18:0/18:1 PE
14	0.1562534869	0.1478985548	0	18:0/18:1 PE
15	0.1393980682	0.1252977401	0	18:0/18:1 PE
16	0.1257533431	0.1054144949	0	18:0/18:1 PE
17	0.09536007792	0.07784185559	0	18:0/18:1 PE
18	0.03187679127	0.02355356514	0	18:0/18:1 PE
3	0.2227202356	0.2018988132	500	18:0/18:1 PE
4	0.2251850665	0.2351301163	500	18:0/18:1 PE
5	0.2406582832	0.2401680648	500	18:0/18:1 PE
6	0.220359087	0.2529517114	500	18:0/18:1 PE
7	0.2112309337	0.2487462908	500	18:0/18:1 PE
8	0.1287506968	0.2504504919	500	18:0/18:1 PE
9	0.1287506968	0.2394726425	500	18:0/18:1 PE
10	0.1287506968	0.2332882583	500	18:0/18:1 PE
11	0.1107009426	0.2165954262	500	18:0/18:1 PE
12	0.1665802449	0.2050784528	500	18:0/18:1 PE
13	0.1739002913	0.1849385798	500	18:0/18:1 PE
14	0.1792834848	0.1686426103	500	18:0/18:1 PE
15	0.1619656682	0.1445544809	500	18:0/18:1 PE
16	0.1466495991	0.1226948351	500	18:0/18:1 PE
17	0.112203002	0.0909858495	500	18:0/18:1 PE
18	0.03811503574	0.02764009498	500	18:0/18:1 PE
3	0.2394272387	0.216959253	1000	18:0/18:1 PE
4	0.2425908446	0.249787271	1000	18:0/18:1 PE
5	0.2597679496	0.2565701902	1000	18:0/18:1 PE
6	0.2395576686	0.2707026303	1000	18:0/18:1 PE
7	0.229835391	0.2682760358	1000	18:0/18:1 PE
8	0.1411180347	0.2709284425	1000	18:0/18:1 PE
9	0.1411180347	0.2617815733	1000	18:0/18:1 PE
10	0.1411180347	0.2560454011	1000	18:0/18:1 PE
11	0.1259056628	0.2407264411	1000	18:0/18:1 PE
12	0.188956812	0.2298307866	1000	18:0/18:1 PE
13	0.1989229769	0.2095003873	1000	18:0/18:1 PE
14	0.2055449635	0.1925331056	1000	18:0/18:1 PE
15	0.1882540584	0.1664404869	1000	18:0/18:1 PE
